0	1
今度 できる と いい ね	ライブ が 中止 に なっ た
それ は 悲しい ね	買っ た ばかり の ネックレス を なくし た
それ は 悲しい	ネット で 買っ た 服 が 思っ て い た もの と 違う
きっと 次 は 当たる よ	チケット が 外れ た
次 の 出会い が ある よ	彼氏 と 別れ た
よく 頑張っ た ね 、 お疲れ様	試合 に 負け た
それ は 悔しい ね	怪我 で 試合 に 出 られ ない
そんな 時 も ある よ	友達 と 喧嘩 し た
嫌 だ ね	親 に 怒ら れ た
きっと できる よ	友達 できる か な
頑張っ て ！	来週 、 面接 だ
来 ませ ん よう に	変 な お客 さん 来 ない と いい な
きっと できる よ	結婚 できる か な
わから ない よ ね	全然 、 わから ない
早く 寝よ う	明日 起き れる か な
なんとか なる ！	就職 できる か な
きっと 大丈夫 ！	バイト で ミス し ない か な
応援 し てる よ	明日 の 試合 勝てる か な
なんとか なる ！	将来 生き て いける か な
怖い よ ね	テスト 怖い
気 を つけ て ね	暗い 道 が 怖い
難しい よ ね	いい ね が もらえ ない
無視 が 一番 だ よ	SNS で 悪口 を 書か れ た
たくさん 撮ろ う	写真 を 撮る の 難しい
遊び に 行く か ー	楽し そう な 投稿 が うらやましい
それ は 酷い	勝手 に 写真 が 使わ れ た
逃げ た 方 が いい ね	変 な 人 に 絡ま れ た
難しい よ ね	SNS を 使いこなせ ない
きっと これから できる よ	友達 が 増え ない
タクシー を 探そ う か ？	終電 を 逃し た
再 放送 を 待と う	見 たかっ た ドラマ を 見逃し た
次回 気 を 付けれ ば いい よ	エアコン を 消し 忘れ た
次 は 気 を 付けよ う	賞味 期限 が 切れ て い た
びっくり する よ ね	水 溜り に 入っ た
お つかれ さ ま	鳥 の フン が かかっ た
お 大事 に	靴擦れ し た
お 大事 に	風邪 かも
お 大事 に	タンス の 角 に 足 の 小指 を ぶつけ た
蒸し タオル が いい らしい よ	画面 を 見 すぎ て 、 目 疲れ た
鳴らし て みる ？	スマホ を 無くし た
充電 スペース を 探す ？	スマホ の 充電 が 切れ た
そういう 時 も ある よ	改札 で お金 が ない こと に 気づい た
ショック だ よ ね	ミート ソース を こぼし た
お疲れ様	逆 向き の 電車 に 乗っ た
いつか 伸びる よ	前髪 を 切り すぎ た
凄い 味 に なる よ ね	砂糖 と 塩 を 間違え た
がんばれ	寒い から 布団 から 出 たく ない
し ちゃっ た ね	手越 くん 、 卒業 し ちゃっ た
きっと できる よ	友達 できる か な
頑張っ て	来週 、 面接 だ
誰 か に 聞い て みる ？	全然 、 わから ない
人 それぞれ だ から	いい ね が もらえ ない
消し て もらお う	SNS で 悪口 を 書か れ た
きっと できる よ	楽し そう な 投稿 が うらやましい
使わ ない よう に 言う ？	勝手 に 写真 が 使わ れ た
今日 は お疲れ様 でし た 。	終電 を 逃し た
サブスクリプション	見 たかっ た ドラマ を 見逃し た
家 に 帰っ たら 涼しい ね ！ ！	エアコン を 消し 忘れ た
課題 を やっ た の ね ！ ！ えらい ！ ！	課題 を 提出 し 忘れ た
今月 は ゆっくり できる ね	シフト 提出 し 忘れ た
気 が 付く こと が 大切	誕生 日 プレゼント 買い 忘れ た
短期 集中 できる ね	充電 し 忘れ た
その 分 荷物 軽い ね	傘 忘れ た
社会 人 だ と 遅刻 は 許さ れ ない から 、 今 の うち だ よ ！	バイト ある こと 忘れ た
良い 運動 だ ！	授業 休講 の こと 知ら ず に 学校 来 ちゃっ た
賞味 期限 だ から 大丈夫	賞味 期限 が 切れ て い た
冷たい よ ね ！	水 溜り に 入っ た
洗う チャンス だ ね ！ ！	鳥 の フン が かかっ た
応募 し た だけ えらい	インターン 落ち た
忍耐 力 つく ね	電車 が 遅延 し てる
タイピング 力 上がる ね	保存 し 忘れ て い た
馬鹿 に さ れる だけ 愛嬌 が ある	馬鹿 に さ れ た
その 人 と 話す 機会 が でき た ね ！	メール 違う 人 に 送っ ちゃっ た
頑張っ て 歩い た ね	靴擦れ し た
体温 測っ て	風邪 かも
痛い よ ね 。 。 。 私 も よく やる	タンス の 角 に 足 の 小指 を ぶつけ た
お疲れ様 ！ ！	画面 を 見 すぎ て 、 目 疲れ た
友達 の 証	猫 に 引っかか れ た
前 しか 向い て ない って こと だ ね ！ ！	階段 から 落ち た
痛い よ ね 。 。 。 私 も よく やる	紙 で 切っ て しまっ た
地味 に その ポエム 響い たり する よ ね	Twitter で ポエム 書く 人 痛い
歯医者 に 行く いい 機会 だ	虫歯 が でき た
パスワード かけ てる から 少し は 安心 だ ね	スマホ を 無くし た
勉強 に 集中 できる ね	スマホ の 充電 が 切れ た
電子 決済 に 切り替える タイミング だ	改札 で お金 が ない こと に 気づい た
コミュ 力 上げる チャンス ！	嫌い な こと シフト 被っ た
腕力 鍛え られる ね	自転車 パンク し た
待ちぼうけ の 練習 だ	迎え に 誰 も 来 て くれ ない
それだけ 期待 さ れ てる って こと だ ね	よく 怒ら れ て しまう
裸眼 の 世界 を 楽しも う ！	コンタクト なく し た
よっぽど おいしかっ た ん だ ね ！	ミート ソース を こぼし た
いつも と 違う 景色 を 眺め られる ね	逆 向き の 電車 に 乗っ た
視界 が 開け て テンション 上がる ね	前髪 を 切り すぎ た
脱水 予防 ！ ！	砂糖 と 塩 を 間違え た
会話 が 弾む いい 機会 だ	人 の 名前 を 間違え た
瞬発 力 ！ ！	アクセル と ブレーキ 間違え た
そこ まで の 会社 だっ た って こと だ よ	インターン 忘れ て た
伸 びしろしかないじゃん ！	メイク が 上手 に でき ない
ダイエット は 断食 じゃ ない ！	ダイエット を し たい の に 食べ て しまう
布団 の 中 最高 だ よ ね	寒い から 布団 から 出 たく ない
丁寧 に やっ てる 証拠 だ ね	課題 が 終わら ない
人 と は 違う 世界 が 見え て いい じゃん	視力 が 悪い
節約 力 上がる ね	お金 が ない
幸せ だ なぁ	悩み が ない こと が 悩み
周り を ハッピー に し てる ね	つらい こと な さ そう に 見え て しまう
合わ ない って こと で あきらめ な	インターン が 通ら ない
合える 機会 が 増える ね	手越 くん 、 卒業 し ちゃっ た
上がる のみ	落ち た
時間 の 管理 を 見直す 機会 だ	間に合わ なかっ た
他 に お金 が 使える ね	コンサート の 抽選 に 落ち た
仲 が より 深まる ね	友達 と 喧嘩 し た
注意 力 上がる ね	変換 が 上手く いか ない
強い 炭酸 って こと が 分かっ た ね	炭酸 が 爆発 し た
カロリー 摂取 抑え られ た ね	スタバ の 新作 が 売り切れ て た
友達 を 作ろ う と 考え てる だけ えらい	友達 できる か な
深呼吸	来週 、 面接 だ
一緒 に 考え て こ ！	全然 、 わから ない
一緒 に 勉強 しよ う	単位 取れる か 不安
いつも 早く 起き てる から 大丈夫 だ よ	明日 起き られる か な
今 まで 頑張っ て き た から 大丈夫	試験 大丈夫 か な
思い違い って こと よく ある よ	友達 怒っ て ない か な
私 が 押し て あげる ！	いい ね が もらえ ない
悪口 が 書ける くらい 注目 さ れ てる って こと	SNS で 悪口 を 書か れ た
真似 しよ ！	楽し そう な 投稿 が うらやましい
良い 写真 だっ た って こと だ よ	勝手 に 写真 が 使わ れ た
やばい な	個人 情報 が バレ た
間違え て 削除 し ちゃっ た ん だ よ	フォロー 承認 し て くれ なかっ た
通信 が 重たく なら ず に 済む ね	フォロワー が 伸び ない
違う 種類 の 試す いい 機会 だ	歯ブラシ 買い 忘れ た
あか なく て も どうにか なる	スーツケース の 鍵 なく し た
問い合わせれ ば とうに か なる	チケット なく し た
イメチェン できる ね	ヘア アイロン 持っ て き 忘れ た
新しい もの を 買う いい 機会 だ	下着 一 泊 分 忘れ た
キャッシュ レス 還元 率 高い よ	現金 忘れ た
その 分 寝 られ た ね	寝坊 し た
服 着 て た だけ まし	オート ロック で 追い出さ れ た
欲張っ て 食べ て 胃 も たれ せ ず に 済ん だ ね	バイキング 行き そびれ た
予習 できる ね	先生 来 ない
その 分 勉強 できる ね	長引い た
記憶 に 残っ て いい ね	毎回 指名 さ れる
徹夜 お疲れ様	眠い
その 分 いい 経験 が できる こと に 期待 しよ う	入会 費 が 高い
いろんな 人 と 関 われる ね	人 多 すぎ
残る こと で できる 人間 関係 も ある ！ お疲れ様	早く 帰り たい
早起き は 三文 の 徳	集合 時間 早 すぎ
大変 な 思い は いつか 報わ れる よ	準備 大変
敬語 使っ て おけ ば とりあえず は オッケー	上下 関係 が 分から ない
覚えよ う と し て いる こと が すごい	新入生 の 名前 と 顔 が 一致 し ない
休む こと も 大切	さぼり すぎ てる
経験 値 上がる ね	企業 に 電話 する
発表 前 に 深呼吸 し て ね	明日 発表
年上 の 人 と 話す の は いい 経験 だ よ	バイト 先 で の 上司 と の 会話
身構え ます よ ね	バイト 先 の 人 と 大学 で 会話 し た とき
久々 に 会う 人 は なんだか 緊張 する よ ね	親戚 の 人 に 久々 に 会う とき
憧れ の 人 と 話せる なんて いい ね	憧れ の 人 と 話す とき
よく い られ た ね 、 私 だっ たら 怖く て 逃げ ちゃう	怒っ てる 人 と 同じ 空間 に いる とき
一 人 の 時間 も 大事	クリ ぼっ ち
大人 に なっ た ね	サンタ さん が 来 ない
残りもの に は 福 が ある	ケーキ が 売り切れ ちゃう
飾っ た 後 の 感動 は 頑張っ た 人 に しか 味わえ ない よ	ツリー 飾る の 面倒 だ な
混ん でる とき に 行っ た 方 が 味 が ある よ	イルミネーション 見 に 行き たい の に 混ん でる 、 、
そんな 日 も ある さ	終電 を 逃し た
見逃し 配信 やっ てる よ ！	見 たかっ た ドラマ を 見逃し た
電気 代 が ・ ・ ・ ！	エアコン を 消し 忘れ た
賞味 期限 は あっ て ない よう な もの だ よ	賞味 期限 が 切れ て い た
良く 回り 見 て 歩か ない と ！	水 溜り に 入っ た
最悪 だ ね ・ ・ ・ 帰っ て すぐ に お 風呂 入り な ～	鳥 の フン が かかっ た
私 も よく 靴擦れ する ん だ 、 痛い よ ね	靴擦れ し た
辛かっ たら 休み な ！	風邪 かも
それ は 痛 すぎる ！ お 大事 に	タンス の 角 に 足 の 小指 を ぶつけ た
眼精疲労 だ ね 、 お疲れ様	画面 を 見 すぎ て 、 目 疲れ た
一緒 に 探す よ ！	スマホ を 無くし た
充電 器 貸そ う か ？	スマホ の 充電 が 切れ た
サザエさん みたい だ ね	改札 で お金 が ない こと に 気づい た
きっと ちゃんと 洗え ば 落ちる よ ！	ミート ソース を こぼし た
ちょっと くらい 遅刻 し て も 大丈夫 だ よ	逆 向き の 電車 に 乗っ た
意外と 似合っ てる よ	前髪 を 切り すぎ た
おっちょこちょい だ ね	砂糖 と 塩 を 間違え た
私 も 上手く でき ない から 練習 中	メイク が 上手 に でき ない
とても よく わかる	ダイエット を し たい の に 食べ て しまう
冬眠 し たい よ ね	寒い から 布団 から 出 たく ない
ソロ で 活動 し て くれる と いい ね	手越 くん 、 卒業 し ちゃっ た
また 次回 頑張ろ ！	落ち た
電車 の 乗り換え 最悪 だっ た ね	間に合わ なかっ た
明るい し 面白い から すぐ 出来る よ ！	友達 できる か な
緊張 する ね ！	来週 、 面接 だ
そのうち 分かる よう に なる よ ！	全然 、 わから ない
何 が 良く ない ん だろ う	いい ね が もらえ ない
それ は 酷い ！	SNS で 悪口 を 書か れ た
私 たち も 何 か 楽しい こと し たい よ ね	楽し そう な 投稿 が うらやましい
ちゃんと 訴え た 方 が いい と 思う ！	勝手 に 写真 が 使わ れ た
Let ' s 野宿 ！ 非 日常 を 味わっ ちゃお う ！	終電 を 逃し た
サブスク を 利用 すれ ば いつ だって 見れる よ ！ アマプラ が 安く て おすすめ ！	見 たかっ た ドラマ を 見逃し た
エアコン 消さ ない ほう が 電力 安かっ たり する ん だ よ ？ 知っ て た ？	エアコン を 消し 忘れ た
人生 何とか なる さ ！ 説明 会 に 取り組ん で いる 君 は 頑張っ て いる ！	説明 会 に 出 忘れ た
提出 物忘れ 一 回 ？ 余裕 だ ね ！	提出 物 だ し 忘れ た
何 を 逃し た ん だい ？ そんな の 人生 の 微々たる ミス や 。	逃し た
何 を 忘れ た ん だい ？ 人間 忘れる 生き物 さ 。	忘れ た
あくまでも 基準 だ し 食べ ちゃえ （ 笑 ） また 買い 直せ ば いい さ ！	賞味 期限 が 切れ て い た
やっ た ー 。 カエル に なれ た ね ！ 私 も なり たい よー （ 笑 ）	水 溜り に 入っ た
いい 笑い話 やん ！ 鳥 に 選ば れ し もの しか 体験 でき ない ラッキーパーソン ！	鳥 の フン が かかっ た
喧嘩 する ほど 仲 が 良い ん だ よ ！ 変 な プライド 捨て て 仲直り や ！	喧嘩 し た
人生 甘く ない ん や で ！ ただ 、 悪い 波 は 永久 じゃ ない から 前向き に 頑張る ん や ！	思う よう に いか ない
いや いやいや 、 恋愛 でき てる だけ ええ やん （ 女子 社会 出身 者 目線 ）	フラ れ た
人生 諦め も 重要 。	挫折 し た
過去 から 学び 、 今日 の ため に 生き 、 未来 に 希望 を もと う 。 アインシュタイン も 言っ てる よ	失敗 し た
知っ て た ？ アインシュタイン は 物理 の 成績 悪かっ た ん だ よ ！ あれ 、 ガリ レオ だ っけ な ？	テスト 赤 点
もう 一 回 学べる ドン ！	単位 落とし た
ネガティヴ 思考 な 分 人生 損 し て いる ぜ ！ こんな の どう でも よく なる くらい Big に なる ん じゃ 。	最悪
まだ 生き てる よ ね ？	終わっ た
逃げる 方 が ヤバ いから ね ？ 受け入れ て 反省 しよ 。	事故 っ た
毎日 ラッキー だっ たら 面白く なく ない ？	ついて ない
元 靴 屋 店員 目線 で 言わ せ て いただき ます が 新品 じゃ 日常 茶飯事 な ので 気 に なる よう でし たら 中 敷 を おすすめ し ます よ ？	靴擦れ し た
サボり チャンス 到来 ！ いつも 頑張っ て いる ご 褒美 だ ね ！	風邪 かも
角 が 君 を 愛し て いる そう だ 。	角 に 足 の 小指 を ぶつけ た
タオル を 濡らし 、 電子 レンジ で 温め 、 アイマスク に する の を おすすめ し ます ！ Easy !	画面 を 見 すぎ て 、 目 疲れ た
なっ て しまっ た もの は しょうが ない 。 お 大事 に 。	怪我 し た
さっさと EVE 飲も う ！	腹痛
痛い の 痛い の 飛ん で け ー ！ どう ？ 治っ た ？	痛い
実は Google アカウント あれ ば 位置 特定 できる の 知っ て た ？	スマホ を 無くし た
そんな ちっぽけ な 事 で 悩め る の ！ ？ コンビニ で 携帯 充電 器 購入 か 、 カフェ で 充電 すれ ば 良い の で は ？	スマホ の 充電 が 切れ た
「 空っぽ の 財布 が 現れ た ！」 ▷ おろす ▷ 借りる ▷ 引き返す ▷ 電話 する	お金 が ない こと に 気づい た
そん じゃ 、 私 と 開業 し ない ？ （ 笑 ） 解決 策 は いくらでも ある さ ！	内定 もらえ ない
まずは 落ち着い て 深呼吸 。	パニック
基本 何とか なる から 、 とり ま 落ち着け ？	どう しよ う
問題 解決 は 原因 を 分析 する こと が 一番 や で ！ よく 考え て 次に 行動 しよ う 。	困っ た
大丈夫 だ から 冷静 に な 。	ヤバ い
今 助ける ！ ヘリ を 待つ ん だ ！	ピンチ
うわ ああ ああ ああ ！ お気に入り の 洋服 が あ ！ （ こぼし たら 言っ て み たい ） クリーニング へ 行き ましょ ー	ミート ソース を こぼし た
みんな 人生 に 一 度 は 経験 する 行事 だ から ！ 電車 が 多い の が いけ ない と 思う 。	逆 向き の 電車 に 乗っ た
伸びる 伸びる ！ 次 切る まで の 期間 が 伸び で Lucky !	前髪 を 切り すぎ た
すき焼き 作る とき に 父 が 間違え た けど 何とか 食べ れ た よ 。 味 は 保証 し ない けど （ 笑 ）	砂糖 と 塩 を 間違え た
所詮 バイト な ん だ から そこ まで 気 に せ ん で ええ 。	バイト ミ スっ た
バカ の 方 が 楽しい よ ！	バカ 丸出し
君 が 思っ て いる より 、 他人 は 何 と も 思わ ない ぜ ？ 気 に せ ず 挽回 が 大切 。	やらかし た
それ は 私 も だ から 何とも 言え ない けど 、 出来 より 努力 じゃ ね ？	メイク が 上手 に でき ない
アホ くらい の 方 が か わ ええ で ！	ポンコツ
他人 の こと な ん だ から 気 に せ ん で ええ ！ イキイキ する ん や ！	ひどい こと 言わ れ た
やる気 に なれ ば できる ん だ か らち ゃっちゃとこなしちゃいなさいっ ！	めんどくさい
彼氏 や 彼女 、 親友 に 「 デブ は いや だ 」 と 言い 続け て もらお う ！ そして 思い出そ う 。 （ 炭水化物 減らす の もの も おすすめ ）	ダイエット を し たい の に 食べ て しまう
みんな 悩ん でる から 大丈夫 ！ （ 多分 ）	寒い から 布団 から 出 たく ない
ときには し たく ない こと も ある さ 。 休も う 。 そして 切り替えよ う 。	し たく ない
まずは 男心 、 女心 を 学び ましょ う 。	モテ ない
英語 は 通じれ ば OK だ よ 。 日本 以外 で は 。 （ TOEIC がんばろ う ね ！ ）	英語 が でき ない
意外と 何とか なる ん じゃ ね ？ 気楽 に いこ ！	就活 嫌 だ
相手 も 人間 だ から きちんと 謝れ ば 何とか なる さ 。	怒ら せ た
人間 みんな 違う から ！ 一部 の 人 に 愛さ れれ ば よく ない ？	人間 関係
いじめる やつ の 心 が 小さい から ほっとけ ？	いじめ
他人 を 気 に し て 行動 する 人生 で いい ん すか ？	人目 線
逃げる は 恥 だ が 役に立つ ！	逃げ たい
親 に 決め られ てる の ？ 自分 の 人生 な のに 。	親 に 言わ れる
よーく 考え て から 決めれ ば ええ 。	別れ たい
悔い の ない よう に ！	告白 する か 迷う
自分 を 信じ て ！ どの 選択 で も 君 次第 ！	進路 に 迷う
美味しい もの 食べよ ！	お腹 減っ た
お疲れ様 ！ 頑張っ て いる 君 は 素敵 さ ！	疲れ た
そんな こと は ない さ ！ 生まれ て き て くれ て ありがとう ！	必要 と さ れ て い ない
他人 は 他人 、 自分 は 自分 。 自分 流 に 生き れる 奴 は （ E ）	他人 と 比べる
心得 た ！	相談 聞い て
何 を 思っ て そう なっ た ん ？ 逆 に 誰 が 可愛い の ？ 定義 なんて ない さ 。	ブス
嫌 なら 断り な ！ 断る 権利 は 誰 に でも ある 。	断れ ない
まあ まあ そう 言わ ず 落ち着き ましょ う 。	無理
え 、 一 人 楽しく ない ？ 自由 や で ！	一 人
お 財布 と 相談 や な ！	物欲
やる こと やっ て 遊ん だら ええ 。	遊び たい
某 サイト で 検索 すれ ば 美味しい もの 出 て くる で ！	献立 思いつか ない
何事 も 終わり は ある ん や で ？ さあ 、 新しい 領域 へ ！ HaHa	卒業 し ちゃっ た
落ち ない 人間 なんて いる の ？	落ち た
間に合わ なかっ た 事実 は 変わら ない ので 、 次に いこ ！	間に合わ なかっ た
君 は まだ 生き て いる ！ 残さ れ た 人生 楽しも う 。	死ん だ
ぱおん	ぴえん
悲しい 時 は 思いっきり ない て ええ ん や で ！	悲しい
存分 に 泣け ば いい 。	泣き たい
辛い よ なー 。 お互い がんばろ う や ！	辛い
今 が 頑張り どき や で ！ 頑張れ ば 結果 が つい て くる 。	勉強
人生 辛い こと も ある けど その 分 楽しい こと も ある よ な ？	人生
ここ 乗り切れ ば 必ず よく なる 。 頑張れ ！	しんどい
できる か な ？ じゃ なく て 作る ん よ ！	友達 できる か な
緊張 し すぎ の やらかし 注意 ！ 頑張っ て ！	来週 、 面接 だ
私 も わから なー い （ 笑 ）	全然 、 わから ない
それ 全 世界 共通 の 悩み 。 解決 でき た 君 は ノーベル 賞	コロナ
探す 手段 は たくさん ある ので 試し ましょ う	結婚 相手 が い ない
余命 宣告 さ れ て ない 人 だって いつ 死ぬ か わから ん から 悔い の ない よう に 生きよ ！	余命 宣告 さ れ た
それ は やばい 。 催促 す べき じゃ ない ？	お金 が 返っ て こ ない
いい ね もらえ た から 何 に なる ん ？ じゃあ 私 から 「 イイ ね 」 ！	いい ね が もらえ ない
そんな ん み なきゃ いい 。 味方 だって いる から 。	SNS で 悪口 を 書か れ た
じゃあ 自分 も 楽しく なる よう に 切り 拓け ば いい	楽し そう な 投稿 が うらやましい
写真 を 撮ら なきゃ いい し 、 見せ なきゃ いい 。	勝手 に 写真 が 使わ れ た
寝れ ば おさまる 。	イライラ する
大声 で 歌っ て ストレス 発散 だ ！	モヤモヤ する
多め に み て やれ ー 。 悪気 は ない さ 。	ムカ つく
そんな 日 も ある よ ！	終電 を 逃し た
見逃し 配信 で 見れる よ ！	見 たかっ た ドラマ を 見逃し た
家 帰っ たら 涼しい ね ！ ( 暖かい ね )	エアコン を 消し 忘れ た
友達 に 見せ て もらお う ！	教科書 忘れ た
まだ 落単 じゃ ない よ ！	出席 忘れ た
新しい お菓子 買っ ちゃ い ましょ う ♪	賞味 期限 が 切れ て い た
今日 は 土砂降り でし た ね	水 溜り に 入っ た
その 分 今日 は 他 に いい こと ある よ ！	鳥 の フン が かかっ た
まだ 来年 が ある よ ！	単位 落とし た
この 会社 に は 縁 が なかっ た と 思お う	寝坊 し て 選考 受け られ なかっ た
それ 通報 し た 方 が いい よ	満員 電車 で 痴漢 さ れ た
絆創膏 あり ます よ ！	靴擦れ し た
ゆっくり 休ん で ください	風邪 かも
それ は 地味 に すごく 痛い やつ	タンス の 角 に 足 の 小指 を ぶつけ た
今日 は 早く 寝る と いい よ	画面 を 見 すぎ て 、 目 疲れ た
トイレ いく ？	お腹 痛い
うわ ！ それ 痛い よ ね ！	舌 噛ん だ
保 湿 保 湿 ！	赤 切れ で 手 が 痛い
スマ ホ 使え ない 時 も 意外と 楽しい よ ？	スマ ホ 使え ない
寝 れる だけ 寝る ん だ ！	最近 寝 て も 寝 て も 眠い
次 から は 多め に 持っ て おこ う ！	改札 で お金 が ない こと に 気づい た
片付けよ う ！	部屋 汚い
クレカ 止め な ！	財布 無く し た
一緒 に 買い に いこ 〜	服 ない
メルカリ で 売れる よ ！	ガチャガチャ で 同じ の が 3 回 も 出 た
次 から は 計画 的 に やろ う ！	課題 が 終わら ない
大丈夫 ！ 洗濯 し たら 落ちる よ ！	ミート ソース を こぼし た
急い でる と そんな こと も ある ！	逆 向き の 電車 に 乗っ た
え 、 まじ で にあっ てる よ ！ ？	前髪 を 切り すぎ た
高野 豆腐 は 失敗 から でき た 食べ物 らしい から おけ ！	砂糖 と 塩 を 間違え た
謝っ たら 許し て くれる よ ！	バイト で お客 さん に 水 かけ た
そんな 日 も ある よ ！	シフト 入っ て ない のに バイト 行っ ちゃっ た
YouTube み て 一緒 に がんばろ ！	メイク が 上手 に でき ない
え わかる 、 でも ストレス ため ない の が 一番 ！	ダイエット を し たい の に 食べ て しまう
わかる 、 毛布 巻き つけ て 歩こ う ！	寒い から 布団 から 出 たく ない
先生 に 質問 し て みよ う ！	課題 が わから ない
ドライブ で 一緒 に 練習 しよ ！	運転 が 上手く なら ない
朝 早く 起きよ う ！	夜 寝 れ ない
落ち着い て ！	緊張 し い
バイト しよ ！	お金 ない
お年玉 まで 待と う	アウター 欲しい けど 高く て 買え ない
一般人 として あえる かも よ ！	手越 くん 、 卒業 し ちゃっ た
お疲れ様 、 頑張っ て た の わかっ てる よ 。	落ち た
待っ てる よ ~ ん	間に合わ なかっ た
誕生 日 おめでとう ！ ！	今日 誕生 日 な のに 誰 に も 祝っ て もらえ なかっ た
私 が 仲良い 友達 だ よ ！	仲良い 友達 が 遠く に 引っ越し た
もう 一 回 買お う ！	アイス 溶け て た
ちゃんと 謝れ ば 許し て くれる よ ！	友達 と 喧嘩 し た
次 当たる よ ！	ライブ 外れ た
私 と 遊ぼ う	予定 が 埋まら ない
とりあえず 笑顔 で あいさつ し とこ ！	友達 できる か な
笑顔 ！ 笑顔 ！ 面接 官 も 人間 ！	来週 、 面接 だ
まあ さ 、 考え た 過程 が 大事 よ な 、 うん 。	全然 、 わから ない
一応 傘 持っ て た 方 が いい ん じゃ ない ？	今日 雨 降る か なあ ？
確認 し に 帰っ た 方 が いい よ ！	家 の 鍵 閉め 忘れ た かも
大丈夫 ！ 心配 し なく て 大丈夫 だ よ ！	就職 先 決まる か な ？
時間 帯 じゃ ない ？	いい ね が もらえ ない
まじ でき に すん な ！ ！	SNS で 悪口 を 書か れ た
え ～ 一緒 に たのしも ！	楽し そう な 投稿 が うらやましい
それだけ かわいかっ た の よ 、 、 でも や だ よ ね 、	勝手 に 写真 が 使わ れ た
ただ みんな が インスタ 辞め た だけ じゃ ない ？	めっちゃ フォロワー 減っ た
今 忙しい ん だ よ ！ きっと	推し の 投稿 頻度 が 少ない
新しい 出会い ある よ ！	恋人 に 振ら れ た
私 の バイト 先 どう ？	バイト 先 に 馴染め ない
あの 人 イマイチ だっ た よ ！ 他 に いい 人 いる よ ！	好き な 人 に 恋人 が でき た
考え すぎ じゃ ない ？	なんだか 、 友達 に ハブ られ てる よう な 、 、
お金 貯め て 収まっ たら 遊び に 行こ う ！	遊び に 行け ない
マスク は コロナ に とても 効果 が ある ん だ よ	マスク が 嫌 だ
いや ？ 意外と そんな こと ない よ	ワクチン 怖い
一緒 に 運動 しよ う ！	コロナ 太り し た
通勤 ラッシュ に 乗ら なく て 済む よ ！	オンライン 授業 嫌 だ
椅子 確保 ！	吊り革 触り たく ない
うち も 入っ て ない 、 朝 まで に 入れ ば オッケー	お 風呂 入り たく ない
お金 の ため に 頑張ろ う	バイト 行き たく ない
次 、 気 を つけれ ば いい じゃ ない !	終電 を 逃し た
Tver で 見れ ば いい じゃ ない !	見 たかっ た ドラマ を 見逃し た
帰っ て き た or 起き た 時 に ベスト な 温度 に なっ て いる よ ！	エアコン を 消し 忘れ た
乗り換え で ダッシュ すれ ば きっと 間に合う よ ！	電車 に 乗り遅れ た
謝っ たら 、 許し て くれる よ !	友達 と の 待ち合わせ に 遅刻 し た
これから 出し 忘れ ない よう に すれ ば OK !	課題 を 出し 忘れ た
これから きちんと チェック し て 忘れ ない よう に すれ ば OK !	チケット の 販売 期間 が 終わっ て い た
きっと 運 が 溜まっ て いる よ ！	チケット の 抽選 期間 が 終わっ て い た
スマホ が なく て も なんとか なる よ ！	スマホ 忘れ た
きっと 、 なんとか 調整 できる よ ！	ダブルブッキング を し た
もしか し たら 家 の 外 に 行っ た かも よ	ゴキブリ を 仕留め 損ね た
サザエさん も 忘れ て た から そんなに 落ち込ま ない で !	お 財布 忘れ た
消費 期限 じゃ ない から 、 少し くらい 過ぎ て も 大丈夫 だ よ !	賞味 期限 が 切れ て い た
わかる ！ 私 は 、 雨 の 時 は 濡れ て も 目立た ない よう な 服 を 着 て いる よ !	雨 で 服 が 濡れ た
ドン マイ ! 近い うち に きっと いい こと ある よ !	水 溜り に 入っ た
運 が つい た から 逆 に ラッキー !	鳥 の フン が かかっ た
私 も １ 時間 くらい 寝過ごし た こと ある から 大丈夫 ！	寝過ごし た
次 の 試験 の 時 に 役立つ から 大丈夫	試験 範囲 間違え て た
これから 寝坊 し ない よう に 気 を つけれ ば OK	寝坊 し た
今日 は いい 夢 見れる よ ！	悪 夢見 た
クモ は 益虫 だ から 、 出 て も 気 に し なく て OK	大きい クモ に 遭遇 し た
ゴキジェット で 頑張っ て !	ゴキブリ に 遭遇 し た
あと で 、 美味しい もの 食べ れる と 思っ て 頑張っ て !	嫌い な 食べ物 が 出 て き た
笑っ た 人 は 時間 が 経て ば 忘れる と 思う から 、 気 に し ない で !	自分 の 失敗 を 人 に 笑わ れ た
そんなに 深刻 に 受け止め ず に 流し て 聞け ば OK	上司 に 八つ 当たり さ れ た
喧嘩 する ほど 仲 が いい っていう ことわざ も ある から 、 きっと もっと 仲良く なれる よ !	喧嘩 し た
荷物 は そのうち 戻っ て くる よ	ひったくり に あっ た
お 土産 は 思い出 な ん だ から 、 そんなに 落ち込ま ない で ！	お 土産 で 買っ た もの が 地元 でも 売っ て い た
そういう 人 も いる よ 、 仕方 ない よ …	馬 が 合わ ない 人 が いる
頑張っ た 分 、 より 良い もの が でき て いる よ !	課題 が 終わら なく て 、 徹夜 し た
新しい 靴 だ から じゃ ない ？ そのうち 靴擦れ し なく なる と 思う よ !	靴擦れ し た
頑張り すぎ なん じゃ ない ? ゆっくり 休ん で ね	風邪 かも
